Experiment,Roll,dy_mps,y_m
Sine id 1,0.0006143788620715852,0.000530787324825312,0.375665570361897
Sine id 2,0.0005306822445824115,0.003078156402667836,0.6174341610585634
Sine id 3,0.0014412164907641684,0.006243788989165498,0.2860534855012866
Manual Input,0.000728386295020842,0.006152022958173199,4.7492261120259505
