Experiment,dz_mps,z_m
Sine id 1,0.0013243157879669187,0.03665907493486335
Sine id 2,0.0018375491137686587,0.01845611449070925
Sine id 3,0.0038822256304380373,0.022350736712485306
Manual Input,0.001105372367353966,0.014077157740424326
