__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749759911.429386,,,,,,,,,,,,,,,,,,1749759911.429385900,0.000000000,0.000000000,0.000000000,0.000000000
1749759911.435185,0.020362100,0.000008508,-0.023144000,-0.001077650,0.010793200,0.014282000,0.003489240,-0.005737780,1749759911.435184956,0.020358973,0.000356934,0.120185000,0.128660934,-0.496362000,-0.017112400,-0.494232772,1.230490000,,,,,
1749759911.445530,0.020788700,-0.000038882,-0.023560000,-0.002020370,0.010667300,0.012432600,0.003741030,-0.005885510,1749759911.445529938,0.020786344,0.000315365,0.120450000,0.128890677,-0.496369000,-0.017040900,-0.494244454,1.230190000,,,,,
1749759911.449455,,,,,,,,,,,,,,,,,,1749759911.449455023,0.000000000,0.000000000,0.000000000,0.009491870
1749759911.455373,0.021102200,0.000034023,-0.024065400,-0.003758490,0.010297200,0.009029420,0.005035020,-0.006158230,1749759911.455373049,0.021098645,0.000388846,0.120704000,0.129033067,-0.496359000,-0.016815500,-0.494259224,1.229890000,,,,,
1749759911.465378,0.021341600,0.000144752,-0.024522600,-0.005415810,0.009845770,0.005300560,0.005052080,-0.006436600,1749759911.465378046,0.021336175,0.000502458,0.120949000,0.129251650,-0.496342000,-0.016762700,-0.494244932,1.229580000,,,,,
1749759911.469456,,,,,,,,,,,,,,,,,,1749759911.469455957,0.000000000,0.000000000,0.000000000,0.018967400
1749759911.475434,0.021561600,0.000146157,-0.024987800,-0.006125270,0.009344970,0.001488640,0.005534960,-0.006593830,1749759911.475434065,0.021556182,0.000504948,0.121195000,0.129437943,-0.496341000,-0.016642000,-0.494255435,1.229270000,,,,,
1749759911.485328,0.021936500,0.000101591,-0.025434800,-0.006932000,0.008573790,-0.003921990,0.005000070,-0.006772280,1749759911.485327959,0.021931761,0.000467116,0.121465000,0.129719011,-0.496346000,-0.016664300,-0.494253049,1.228950000,,,,,
1749759911.489456,,,,,,,,,,,,,,,,,,1749759911.489455938,0.000000000,0.000000000,0.000000000,0.028410500
1749759911.495576,0.022152900,0.000094558,-0.026013600,-0.006122430,0.007705800,-0.009626560,0.004075940,-0.006723990,1749759911.495575905,0.022148209,0.000465558,0.121716000,0.130011641,-0.496346000,-0.016748600,-0.494237908,1.228610000,,,,,
1749759911.505337,0.022447100,0.000090443,-0.026628900,-0.004620830,0.007137360,-0.012876600,0.002188500,-0.006567060,1749759911.505337000,0.022442328,0.000471608,0.121980000,0.130390937,-0.496345000,-0.016982000,-0.494202067,1.228260000,,,,,
1749759911.509455,,,,,,,,,,,,,,,,,,1749759911.509454966,0.000000000,0.000000000,0.000000000,0.037804800
1749759911.515407,0.022855100,0.000093605,-0.027257700,-0.002493220,0.006608530,-0.015630300,0.002609340,-0.006304160,1749759911.515407085,0.022850255,0.000479801,0.122264000,0.130633861,-0.496344000,-0.016899000,-0.494207089,1.227910000,,,,,
1749759911.525491,0.023360400,0.000034143,-0.027948000,-0.001330800,0.005979440,-0.018884600,0.002518580,-0.006160210,1749759911.525490999,0.023356493,0.000428586,0.122566000,0.130929577,-0.496352000,-0.016886100,-0.494211673,1.227530000,,,,,
1749759911.529447,,,,,,,,,,,,,,,,,,1749759911.529447079,0.000000000,0.000000000,0.000000000,0.047134300
1749759911.535194,0.023859100,-0.000049614,-0.028626200,0.000251735,0.005429320,-0.021371300,0.000025454,-0.005943610,1749759911.535193920,0.023856416,0.000361301,0.122872000,0.131402281,-0.496364000,-0.017223100,-0.494174250,1.227150000,,,,,
1749759911.545429,0.024279400,-0.000091093,-0.029298900,0.001563840,0.004944820,-0.023235100,-0.002174250,-0.005750470,1749759911.545428991,0.024277262,0.000334821,0.123171000,0.131859172,-0.496370000,-0.017542500,-0.494133009,1.226770000,,,,,
1749759911.549452,,,,,,,,,,,,,,,,,,1749759911.549452066,0.000000000,0.000000000,0.000000000,0.056383400
