__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749761169.554668,,,,,,,,,,,,,,,,,,1749761169.554667950,0.000000000,0.000000000,0.000000000,0.000000000
1749761169.556069,-0.007137000,0.013755900,-0.013589800,-0.020188300,-0.016824400,0.005207550,0.002751990,-0.008170440,1749761169.556068897,-0.013379086,-0.007820589,1.115310000,0.703246978,-0.760370000,-1.621170000,1.152181679,1.245020000,,,,,
1749761169.566080,-0.007254750,0.013323400,-0.013461400,-0.010852800,-0.016998400,0.003651210,0.003018670,-0.007016040,1749761169.566080093,-0.012941760,-0.007915506,1.115220000,0.703257249,-0.760295000,-1.621100000,1.152038791,1.244900000,,,,,
1749761169.574743,,,,,,,,,,,,,,,,,,1749761169.574743032,0.000000000,0.007539230,0.000000000,0.000000000
1749761169.576318,-0.007270940,0.013019800,-0.013288600,-0.000940523,-0.017161500,0.002277720,0.004128740,-0.005684490,1749761169.576318026,-0.012639234,-0.007914009,1.115150000,0.703390742,-0.760206000,-1.620910000,1.151830781,1.244790000,,,,,
1749761169.586056,-0.007220650,0.012640000,-0.013020200,0.007704800,-0.017315500,0.001060770,0.005059440,-0.004437890,1749761169.586055994,-0.012263841,-0.007842549,1.115080000,0.703526648,-0.760131000,-1.620730000,1.151630496,1.244700000,,,,,
1749761169.594737,,,,,,,,,,,,,,,,,,1749761169.594737053,0.000000000,0.015074900,0.000000000,0.000000000
1749761169.596304,-0.007451340,0.012547800,-0.013008600,0.017253100,-0.017334800,0.000854457,0.005375280,-0.002973650,1749761169.596303940,-0.012160968,-0.008067255,1.114980000,0.703522414,-0.760018000,-1.620640000,1.151461668,1.244570000,,,,,
1749761169.606320,-0.007586360,0.012356400,-0.012883300,0.025420100,-0.017353500,0.000667123,0.005602890,-0.001614590,1749761169.606319904,-0.011963816,-0.008191495,1.114880000,0.703534136,-0.759921000,-1.620550000,1.151293646,1.244460000,,,,,
1749761169.614737,,,,,,,,,,,,,,,,,,1749761169.614737034,0.000000000,0.022603400,0.000000000,0.000000000
1749761169.616361,-0.007618990,0.012221800,-0.012697400,0.033775300,-0.017301800,0.000977178,0.004889990,-0.000146538,1749761169.616360903,-0.011827349,-0.008217982,1.114800000,0.703376682,-0.759817000,-1.620600000,1.151243743,1.244360000,,,,,
1749761169.626387,-0.007765220,0.012377800,-0.012676400,0.041881500,-0.017228100,0.001416910,0.001183730,0.001368900,1749761169.626386881,-0.011971772,-0.008377664,1.114710000,0.702672196,-0.759672000,-1.621090000,1.151491084,1.244230000,,,,,
1749761169.634733,,,,,,,,,,,,,,,,,,1749761169.634732962,0.000000000,0.030121200,0.000000000,0.000000000
1749761169.636048,-0.007823870,0.012404000,-0.012545900,0.048573900,-0.017160100,0.001787520,-0.002056180,0.002760000,1749761169.636048079,-0.011991108,-0.008443074,1.114620000,0.702019167,-0.759544000,-1.621550000,1.151717813,1.244120000,,,,,
1749761169.646296,-0.007980830,0.012565000,-0.012429900,0.054229100,-0.016977200,0.002923850,-0.004770320,0.004067340,1749761169.646296024,-0.012140407,-0.008612978,1.114520000,0.701405210,-0.759397000,-1.621960000,1.151898158,1.244020000,,,,,
1749761169.654735,,,,,,,,,,,,,,,,,,1749761169.654735088,0.000000000,0.037624800,0.000000000,0.000000000
1749761169.656238,-0.008041850,0.012571300,-0.012306100,0.058395600,-0.017092400,0.001929200,-0.006041940,0.005214950,1749761169.656238079,-0.012141583,-0.008677033,1.114430000,0.701018046,-0.759270000,-1.622190000,1.151963045,1.243910000,,,,,
1749761169.666473,-0.007934070,0.012515300,-0.012135900,0.060975000,-0.017286500,0.000460840,-0.006101730,0.006173640,1749761169.666472912,-0.012090594,-0.008567365,1.114370000,0.700823648,-0.759153000,-1.622260000,1.151946174,1.243810000,,,,,
1749761169.674744,,,,,,,,,,,,,,,,,,1749761169.674743891,0.000000000,0.045110500,0.000000000,0.000000000
1749761169.676389,-0.007769900,0.012355700,-0.011880100,0.062682400,-0.017468300,-0.000822686,-0.006099800,0.007031460,1749761169.676388979,-0.011939147,-0.008395918,1.114310000,0.700655756,-0.759051000,-1.622320000,1.151923048,1.243730000,,,,,
1749761169.686286,-0.007630250,0.012155300,-0.011603900,0.062967700,-0.017546100,-0.001301140,-0.006479450,0.007699720,1749761169.686285973,-0.011745215,-0.008247542,1.114250000,0.700425744,-0.758956000,-1.622440000,1.151942295,1.243650000,,,,,
1749761169.694734,,,,,,,,,,,,,,,,,,1749761169.694734097,0.000000000,0.052574900,0.000000000,0.000000000
1749761169.696405,-0.007454720,0.011901000,-0.011320400,0.063229000,-0.017568600,-0.001366920,-0.006305880,0.008367360,1749761169.696404934,-0.011499993,-0.008059579,1.114200000,0.700298361,-0.758872000,-1.622480000,1.151916038,1.243570000,,,,,
1749761169.706361,-0.007517620,0.011687600,-0.011095300,0.062169700,-0.017404900,-0.000145958,-0.005522100,0.008845750,1749761169.706361055,-0.011284034,-0.008110807,1.114120000,0.700272202,-0.758784000,-1.622430000,1.151796587,1.243490000,,,,,
1749761169.714740,,,,,,,,,,,,,,,,,,1749761169.714740038,0.000000000,0.060014300,0.000000000,0.000000000
1749761169.716342,-0.007505860,0.011398200,-0.010801000,0.060696100,-0.017251600,0.000919211,-0.004790260,0.009253370,1749761169.716341972,-0.010996031,-0.008083576,1.114040000,0.700259015,-0.758709000,-1.622380000,1.151677811,1.243420000,,,,,
1749761169.726277,-0.007369810,0.011203400,-0.010487400,0.059961900,-0.017244100,0.000907599,-0.003989820,0.009753660,1749761169.726277113,-0.010809060,-0.007936907,1.113990000,0.700256320,-0.758623000,-1.622310000,1.151574428,1.243360000,,,,,
1749761169.734737,,,,,,,,,,,,,,,,,,1749761169.734736919,0.000000000,0.067425400,0.000000000,0.000000000
1749761169.736521,-0.007298750,0.011075500,-0.010250500,0.054943800,-0.017264600,0.000704462,-0.002327740,0.009624240,1749761169.736521006,-0.010686560,-0.007857218,1.113930000,0.700396820,-0.758530000,-1.622110000,1.151369663,1.243290000,,,,,
1749761169.746232,-0.007203650,0.010880000,-0.010054300,0.049207000,-0.017621400,-0.001799940,-0.000903127,0.009340220,1749761169.746232033,-0.010497668,-0.007750222,1.113870000,0.700535742,-0.758447000,-1.621920000,1.151172403,1.243220000,,,,,
1749761169.754737,,,,,,,,,,,,,,,,,,1749761169.754736900,0.000000000,0.074804600,0.000000000,0.000000000
1749761169.756158,-0.007056990,0.010613400,-0.009794330,0.043772500,-0.017954100,-0.003966200,0.000346203,0.009042760,1749761169.756158113,-0.010240201,-0.007588389,1.113820000,0.700664069,-0.758377000,-1.621750000,1.150999795,1.243150000,,,,,
1749761169.766176,-0.006881070,0.010306600,-0.009629160,0.037591100,-0.018679000,-0.008682890,0.002045230,0.008582430,1749761169.766175985,-0.009944608,-0.007394585,1.113770000,0.700893410,-0.758316000,-1.621500000,1.150771566,1.243080000,,,,,
1749761169.774736,,,,,,,,,,,,,,,,,,1749761169.774735928,0.000000000,0.082148400,0.000000000,0.000000000
1749761169.776456,-0.006635920,0.009977020,-0.009496990,0.031355000,-0.019570500,-0.014221900,0.003704670,0.008052350,1749761169.776456118,-0.009629731,-0.007130543,1.113740000,0.701138170,-0.758260000,-1.621240000,1.150556509,1.243000000,,,,,
1749761169.786482,-0.006363530,0.009601490,-0.009297720,0.025643500,-0.020395600,-0.018922300,0.005117810,0.007536130,1749761169.786482096,-0.009270054,-0.006837340,1.113710000,0.701370846,-0.758215000,-1.621000000,1.150355983,1.242940000,,,,,
1749761169.794745,,,,,,,,,,,,,,,,,,1749761169.794744968,0.000000000,0.089453400,0.000000000,0.000000000
1749761169.796221,-0.006020550,0.009423870,-0.009147640,0.017881600,-0.021146600,-0.022789000,0.008688870,0.006664900,1749761169.796221018,-0.009113565,-0.006480685,1.113700000,0.701957017,-0.758145000,-1.620430000,1.149942554,1.242870000,,,,,
1749761169.806181,-0.005668370,0.009185650,-0.008935850,0.010959900,-0.021834700,-0.025956400,0.011723600,0.005838120,1749761169.806180954,-0.008896352,-0.006112406,1.113690000,0.702506951,-0.758085000,-1.619900000,1.149557422,1.242810000,,,,,
1749761169.814749,,,,,,,,,,,,,,,,,,1749761169.814749002,0.000000000,0.096716200,0.000000000,0.000000000
1749761169.816466,-0.005248490,0.008926930,-0.008728560,0.004290950,-0.022427300,-0.028249100,0.015152100,0.004978840,1749761169.816466093,-0.008662074,-0.005674963,1.113690000,0.703165605,-0.758031000,-1.619280000,1.149119030,1.242750000,,,,,
1749761169.826098,-0.004859800,0.008635890,-0.008638910,-0.000631504,-0.022942400,-0.029849900,0.017213200,0.004306600,1749761169.826097965,-0.008392585,-0.005268849,1.113700000,0.703635212,-0.757984000,-1.618830000,1.148810221,1.242670000,,,,,
1749761169.834742,,,,,,,,,,,,,,,,,,1749761169.834742069,0.000000000,0.103933000,0.000000000,0.000000000
1749761169.836181,-0.004478080,0.008305830,-0.008484290,-0.004915070,-0.023405100,-0.030980400,0.018856700,0.003677960,1749761169.836180925,-0.008083231,-0.004868407,1.113700000,0.704068208,-0.757946000,-1.618420000,1.148519825,1.242610000,,,,,
1749761169.846366,-0.004260370,0.008041740,-0.008464450,-0.008639280,-0.023638800,-0.030456400,0.018868700,0.003087750,1749761169.846365929,-0.007830686,-0.004636884,1.113690000,0.704241939,-0.757901000,-1.618230000,1.148373909,1.242530000,,,,,
