__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762346.980642,-0.002313740,-0.025649300,-0.031662300,-0.003402930,-0.014917900,-0.025674800,0.000138131,-0.025964200,1749762346.980642080,0.025675325,-0.002004411,0.153843000,0.766344862,-0.768255000,-1.582850000,0.163091895,1.342370000,,,,,
1749762346.990839,-0.002014030,-0.024675100,-0.031506400,-0.002714840,-0.015092600,-0.025109800,-0.000399861,-0.025898300,1749762346.990839005,0.024697703,-0.001714736,0.153863000,0.766448193,-0.768370000,-1.582920000,0.163166931,1.342070000,,,,,
1749762346.999365,,,,,,,,,,,,,,,,,,1749762346.999365091,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.000599,-0.001604130,-0.023886400,-0.031484100,-0.002316080,-0.015133600,-0.023664000,-0.000665891,-0.025867500,1749762347.000598907,0.023904158,-0.001313233,0.153903000,0.766571537,-0.768502000,-1.582970000,0.163246857,1.341760000,,,,,
1749762347.010432,-0.001138600,-0.023054300,-0.031476100,-0.000955825,-0.015273200,-0.022995800,0.001154750,-0.025693100,1749762347.010432005,0.023066228,-0.000863864,0.153954000,0.766731339,-0.768620000,-1.582710000,0.163099945,1.341450000,,,,,
1749762347.019433,,,,,,,,,,,,,,,,,,1749762347.019433022,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.020434,-0.000722882,-0.022125000,-0.031190400,0.000237889,-0.015389000,-0.022210000,0.002730920,-0.025529200,1749762347.020433903,0.022131931,-0.000464559,0.154003000,0.766865882,-0.768716000,-1.582470000,0.162966042,1.341170000,,,,,
1749762347.030446,-0.000562186,-0.021340700,-0.031150900,0.001088510,-0.015322300,-0.020222300,0.005745140,-0.025403200,1749762347.030446053,0.021345659,-0.000323061,0.154019000,0.767049206,-0.768823000,-1.582000000,0.162622795,1.340870000,,,,,
1749762347.039432,,,,,,,,,,,,,,,,,,1749762347.039432049,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.040663,-0.000848333,-0.020479900,-0.031031800,0.003173380,-0.015024300,-0.016779100,0.008723280,-0.025089500,1749762347.040663004,0.020487813,-0.000628874,0.153972000,0.767217297,-0.768911000,-1.581510000,0.162200867,1.340570000,,,,,
1749762347.050630,-0.001090150,-0.019548500,-0.030653300,0.004961910,-0.014734700,-0.013630400,0.011241000,-0.024797900,1749762347.050630093,0.019558659,-0.000889457,0.153928000,0.767360658,-0.768981000,-1.581060000,0.161812324,1.340320000,,,,,
1749762347.059436,,,,,,,,,,,,,,,,,,1749762347.059436083,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.060674,-0.001354690,-0.018666100,-0.030349000,0.006958230,-0.014289500,-0.009628070,0.014130500,-0.024458200,1749762347.060673952,0.018678402,-0.001172939,0.153879000,0.767513785,-0.769048000,-1.580530000,0.161357254,1.340060000,,,,,
1749762347.070443,-0.001357210,-0.017784500,-0.029927300,0.008811140,-0.013850700,-0.005944890,0.015241000,-0.024119500,1749762347.070442915,0.017796512,-0.001189379,0.153865000,0.767621287,-0.769107000,-1.580230000,0.161113550,1.339810000,,,,,
1749762347.079434,,,,,,,,,,,,,,,,,,1749762347.079433918,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.080661,-0.001214880,-0.016943400,-0.029490200,0.011661100,-0.013303800,-0.001771520,0.014720800,-0.023617300,1749762347.080661058,0.016954022,-0.001056346,0.153872000,0.767689105,-0.769162000,-1.580150000,0.161059654,1.339580000,,,,,
1749762347.090722,-0.000808223,-0.016134300,-0.029026900,0.014995300,-0.012667700,0.002728950,0.012014800,-0.023016300,1749762347.090722084,0.016141311,-0.000653401,0.153919000,0.767701976,-0.769214000,-1.580390000,0.161291391,1.339350000,,,,,
1749762347.099433,,,,,,,,,,,,,,,,,,1749762347.099432945,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.100610,-0.000244898,-0.015303700,-0.028563400,0.018450400,-0.012042200,0.006846430,0.008039150,-0.022364400,1749762347.100610018,0.015305389,-0.000091030,0.153993000,0.767667954,-0.769255000,-1.580850000,0.161718926,1.339130000,,,,,
1749762347.110603,0.000168655,-0.014457600,-0.027965600,0.019826900,-0.011418400,0.010668800,0.003644430,-0.021979900,1749762347.110603094,0.014454996,0.000322091,0.154051000,0.767606654,-0.769285000,-1.581410000,0.162207109,1.338930000,,,,,
1749762347.119435,,,,,,,,,,,,,,,,,,1749762347.119435072,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.120724,0.000616963,-0.013643600,-0.027367800,0.020577400,-0.010904600,0.013471300,-0.000177631,-0.021672600,1749762347.120723963,0.013635885,0.000768825,0.154117000,0.767547466,-0.769311000,-1.581930000,0.162672528,1.338730000,,,,,
1749762347.130670,0.000953292,-0.012937000,-0.026745700,0.021379000,-0.010321700,0.016556300,-0.002855740,-0.021350400,1749762347.130670071,0.012925156,0.001102307,0.154172000,0.767517330,-0.769345000,-1.582320000,0.163027248,1.338550000,,,,,
1749762347.139436,,,,,,,,,,,,,,,,,,1749762347.139436007,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.140598,0.001219140,-0.012243200,-0.026081300,0.021564100,-0.009763090,0.019261500,-0.004333750,-0.021109700,1749762347.140598059,0.012228012,0.001363077,0.154221000,0.767506602,-0.769374000,-1.582560000,0.163260785,1.338380000,,,,,
1749762347.150607,0.001370280,-0.011574500,-0.025394400,0.021231700,-0.009344050,0.020820100,-0.005315790,-0.020942300,1749762347.150607109,0.011557294,0.001508537,0.154255000,0.767500161,-0.769399000,-1.582750000,0.163440905,1.338220000,,,,,
1749762347.159428,,,,,,,,,,,,,,,,,,1749762347.159427881,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.160463,0.001407340,-0.010891900,-0.024628900,0.019981600,-0.009027660,0.021564800,-0.005960230,-0.020911600,1749762347.160463095,0.010874069,0.001539066,0.154274000,0.767492405,-0.769416000,-1.582900000,0.163575232,1.338080000,,,,,
1749762347.170619,0.001489990,-0.010217100,-0.023783900,0.018375400,-0.008859190,0.021240000,-0.007378240,-0.020945200,1749762347.170619011,0.010197898,0.001616194,0.154300000,0.767459527,-0.769426000,-1.583160000,0.163800896,1.337950000,,,,,
1749762347.179436,,,,,,,,,,,,,,,,,,1749762347.179435968,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.180703,0.001536260,-0.009552550,-0.022903400,0.016382000,-0.008744910,0.020564600,-0.008786000,-0.021051000,1749762347.180702925,0.009532363,0.001656913,0.154322000,0.767419354,-0.769432000,-1.583440000,0.164037853,1.337840000,,,,,
1749762347.190680,0.001464870,-0.008927050,-0.022021000,0.014698800,-0.008685990,0.019554700,-0.009836060,-0.021131700,1749762347.190680027,0.008907437,0.001579758,0.154327000,0.767384898,-0.769437000,-1.583680000,0.164227092,1.337740000,,,,,
1749762347.199423,,,,,,,,,,,,,,,,,,1749762347.199423075,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.200348,0.001375400,-0.008292200,-0.021155000,0.013562800,-0.008658460,0.018398200,-0.011327900,-0.021149800,1749762347.200347900,0.008273332,0.001484682,0.154328000,0.767330938,-0.769434000,-1.583990000,0.164465934,1.337650000,,,,,
1749762347.210458,0.001243680,-0.007664060,-0.020378200,0.012103200,-0.008716490,0.016732400,-0.013619300,-0.021226200,1749762347.210458040,0.007646379,0.001348127,0.154323000,0.767247920,-0.769425000,-1.584440000,0.164806094,1.337550000,,,,,
1749762347.219436,,,,,,,,,,,,,,,,,,1749762347.219435930,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.220632,0.001088070,-0.007059370,-0.019612500,0.009437230,-0.008795180,0.015039000,-0.015918800,-0.021492500,1749762347.220632076,0.007043311,0.001187592,0.154313000,0.767159518,-0.769414000,-1.584910000,0.165156528,1.337460000,,,,,
1749762347.230584,0.000872029,-0.006452970,-0.018825700,0.006996130,-0.009070510,0.012108800,-0.020816300,-0.021752800,1749762347.230583906,0.006439180,0.000968617,0.154292000,0.766998858,-0.769397000,-1.585780000,0.165802642,1.337380000,,,,,
1749762347.239432,,,,,,,,,,,,,,,,,,1749762347.239432096,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.240608,0.000778323,-0.005809740,-0.018027600,0.005735190,-0.009361880,0.009269750,-0.027559800,-0.021866000,1749762347.240607977,0.005796392,0.000872182,0.154287000,0.766772095,-0.769368000,-1.586970000,0.166709785,1.337300000,,,,,
1749762347.250356,0.000853330,-0.005111000,-0.017217000,0.004884150,-0.009664710,0.006547270,-0.036608000,-0.021932300,1749762347.250355959,0.005095036,0.000943981,0.154306000,0.766461727,-0.769324000,-1.588560000,0.167946957,1.337240000,,,,,
1749762347.259429,,,,,,,,,,,,,,,,,,1749762347.259428978,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.260705,0.000784424,-0.004454830,-0.016354800,0.004732820,-0.010026600,0.003605610,-0.047099800,-0.021905400,1749762347.260704994,0.004438554,0.000871821,0.154304000,0.766098986,-0.769280000,-1.590450000,0.169392404,1.337190000,,,,,
1749762347.270577,0.000646350,-0.003788150,-0.015440800,0.004367380,-0.010274300,0.001652470,-0.057821300,-0.021911200,1749762347.270576954,0.003773245,0.000728333,0.154292000,0.765701813,-0.769228000,-1.592480000,0.170934110,1.337160000,,,,,
1749762347.279462,,,,,,,,,,,,,,,,,,1749762347.279462099,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.280534,0.000412626,-0.003154600,-0.014511700,0.003134250,-0.010373500,0.000855677,-0.068431800,-0.022046700,1749762347.280534029,0.003143885,0.000487593,0.154265000,0.765284371,-0.769174000,-1.594600000,0.172528735,1.337140000,,,,,
1749762347.290667,0.000129019,-0.002596680,-0.013614900,0.001589230,-0.010442400,0.000322576,-0.078395900,-0.022239800,1749762347.290667057,0.002592461,0.000196310,0.154228000,0.764866125,-0.769124000,-1.596730000,0.174120114,1.337130000,,,,,
1749762347.299455,,,,,,,,,,,,,,,,,,1749762347.299454927,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.300675,-0.000065496,-0.002135740,-0.012698600,-0.000849760,-0.010535700,-0.000341307,-0.091679800,-0.022578200,1749762347.300674915,0.002136740,-0.000004302,0.154201000,0.764351242,-0.769083000,-1.599440000,0.176164096,1.337130000,,,,,
1749762347.310680,-0.000331765,-0.001636750,-0.011777400,-0.003359200,-0.010641300,-0.001044850,-0.104819000,-0.022951300,1749762347.310679913,0.001646380,-0.000280095,0.154161000,0.763799921,-0.769032000,-1.602270000,0.178284917,1.337130000,,,,,
1749762347.319470,,,,,,,,,,,,,,,,,,1749762347.319469929,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.320646,-0.000789548,-0.001021300,-0.010780500,-0.005929840,-0.010776100,-0.001901100,-0.117026000,-0.023358400,1749762347.320646048,0.001047771,-0.000754067,0.154092000,0.763223530,-0.768959000,-1.605090000,0.180366659,1.337160000,,,,,
1749762347.330660,-0.001400380,-0.000343501,-0.009670990,-0.007947890,-0.010976800,-0.003151500,-0.128175000,-0.023710900,1749762347.330660105,0.000395184,-0.001386682,0.153995000,0.762632994,-0.768871000,-1.607880000,0.182395152,1.337210000,,,,,
1749762347.339458,,,,,,,,,,,,,,,,,,1749762347.339457989,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.340742,-0.002057620,0.000310942,-0.008520310,-0.010134400,-0.011083800,-0.003671070,-0.139479000,-0.024108000,1749762347.340742111,-0.000228382,-0.002068412,0.153885000,0.762007777,-0.768779000,-1.610810000,0.184515288,1.337280000,,,,,
1749762347.350311,-0.002636640,0.000915963,-0.007469560,-0.011623800,-0.011252600,-0.004580610,-0.151840000,-0.024425700,1749762347.350311041,-0.000801231,-0.002673740,0.153781000,0.761328874,-0.768688000,-1.614000000,0.186837316,1.337350000,,,,,
1749762347.359434,,,,,,,,,,,,,,,,,,1749762347.359433889,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.360694,-0.003131910,0.001465280,-0.006391890,-0.012137000,-0.011524900,-0.006139490,-0.163949000,-0.024616500,1749762347.360693932,-0.001318199,-0.003196601,0.153682000,0.760629542,-0.768599000,-1.617270000,0.189222831,1.337430000,,,,,
1749762347.370601,-0.003526620,0.001997930,-0.005240650,-0.012707700,-0.011850100,-0.007954750,-0.174474000,-0.024820800,1749762347.370600939,-0.001820466,-0.003621419,0.153594000,0.759938365,-0.768507000,-1.620440000,0.191540615,1.337540000,,,,,
1749762347.379433,,,,,,,,,,,,,,,,,,1749762347.379432917,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.380817,-0.003987960,0.002539150,-0.004059900,-0.013079500,-0.012275100,-0.010332900,-0.184103000,-0.025001900,1749762347.380816936,-0.002325171,-0.004116393,0.153491000,0.759238815,-0.768409000,-1.623590000,0.193825438,1.337650000,,,,,
1749762347.390599,-0.004408990,0.003113040,-0.002926910,-0.012578400,-0.012590100,-0.011790100,-0.193338000,-0.025059900,1749762347.390599012,-0.002861506,-0.004576242,0.153390000,0.758515433,-0.768300000,-1.626770000,0.196131894,1.337780000,,,,,
1749762347.399464,,,,,,,,,,,,,,,,,,1749762347.399463892,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.400912,-0.004881960,0.003651460,-0.001834280,-0.013225800,-0.013018400,-0.013926600,-0.202635000,-0.025279700,1749762347.400912046,-0.003355947,-0.005089628,0.153278000,0.757764867,-0.768190000,-1.630050000,0.198500448,1.337910000,,,,,
1749762347.410651,-0.005242650,0.004139410,-0.000688624,-0.014265300,-0.013495600,-0.016252400,-0.212176000,-0.025563000,1749762347.410650969,-0.003802922,-0.005491619,0.153176000,0.756981164,-0.768083000,-1.633470000,0.200982336,1.338060000,,,,,
1749762347.419450,,,,,,,,,,,,,,,,,,1749762347.419450045,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.420695,-0.005574870,0.004643210,0.000499211,-0.014964700,-0.014036200,-0.018854600,-0.220657000,-0.025807300,1749762347.420695066,-0.004265287,-0.005869063,0.153076000,0.756195475,-0.767968000,-1.636820000,0.203409721,1.338220000,,,,,
1749762347.430610,-0.005909270,0.005218900,0.001645290,-0.014621700,-0.014676100,-0.021961400,-0.228137000,-0.025907100,1749762347.430609941,-0.004797103,-0.006256532,0.152971000,0.755399750,-0.767838000,-1.640110000,0.205782747,1.338390000,,,,,
1749762347.439439,,,,,,,,,,,,,,,,,,1749762347.439439058,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.440832,-0.006281890,0.005816930,0.002812410,-0.014473500,-0.015125200,-0.023541100,-0.236292000,-0.026031800,1749762347.440831900,-0.005344714,-0.006688262,0.152858000,0.754550723,-0.767699000,-1.643580000,0.208279932,1.338580000,,,,,
1749762347.450599,-0.006648500,0.006418680,0.003918900,-0.013808900,-0.015743600,-0.026177600,-0.243912000,-0.026080000,1749762347.450598955,-0.005893547,-0.007118154,0.152742000,0.753687708,-0.767554000,-1.647050000,0.210770254,1.338770000,,,,,
1749762347.459480,,,,,,,,,,,,,,,,,,1749762347.459480047,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.460855,-0.006862180,0.007025200,0.004924540,-0.013024000,-0.016349900,-0.028549000,-0.251339000,-0.026104000,1749762347.460855007,-0.006456017,-0.007400188,0.152645000,0.752796345,-0.767401000,-1.650570000,0.213313040,1.338950000,,,,,
1749762347.470612,-0.007199130,0.007710840,0.005878180,-0.012734500,-0.017087000,-0.031657600,-0.257195000,-0.026192200,1749762347.470612049,-0.007086409,-0.007814559,0.152527000,0.751915751,-0.767231000,-1.653930000,0.215709518,1.339140000,,,,,
1749762347.479480,,,,,,,,,,,,,,,,,,1749762347.479480028,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.480855,-0.007576240,0.008493290,0.006811300,-0.011591700,-0.017702200,-0.033712900,-0.263080000,-0.026153500,1749762347.480854988,-0.007806480,-0.008282165,0.152400000,0.750993137,-0.767041000,-1.657360000,0.218144364,1.339340000,,,,,
1749762347.490623,-0.007985060,0.009303560,0.007734540,-0.010523700,-0.018142600,-0.034423600,-0.268384000,-0.026114300,1749762347.490622997,-0.008548540,-0.008788622,0.152265000,0.750057057,-0.766838000,-1.660760000,0.220543783,1.339540000,,,,,
1749762347.499460,,,,,,,,,,,,,,,,,,1749762347.499459982,0.000000000,0.000000000,0.300000000,0.000000000
1749762347.500846,-0.008389070,0.010110800,0.008672570,-0.007363150,-0.018543700,-0.034815100,-0.271241000,-0.025760300,1749762347.500845909,-0.009287456,-0.009292359,0.152126000,0.749173594,-0.766628000,-1.663860000,0.222709983,1.339750000,,,,,
