time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762456.521717,-0.004893070,0.013255600,-0.095015900,-0.018523200,-0.029957400,0.003559980,0.002163020,-0.012341800,1749762456.521717072,0.002201245,-0.013957349,0.239901000,-0.083770829,-0.773189000,-2.944400000,0.805205668,1.473720000,,,,,
1749762456.531728,-0.004536150,0.013611600,-0.093176200,-0.020500300,-0.030100500,0.002329910,0.000877774,-0.012814300,1749762456.531728029,0.001783773,-0.014236238,0.239904000,-0.083938819,-0.773004000,-2.944560000,0.805011421,1.473040000,,,,,
1749762456.541784,-0.003779570,0.013981000,-0.091251000,-0.021288100,-0.030238000,0.001223090,0.002398320,-0.013133700,1749762456.541784048,0.000966194,-0.014450605,0.239969000,-0.083854445,-0.772815000,-2.944330000,0.804858110,1.472390000,,,,,
1749762456.551697,-0.003061020,0.014266100,-0.089346300,-0.021275500,-0.030303900,0.000685338,0.004294790,-0.013344800,1749762456.551697016,0.000201327,-0.014589411,0.240035000,-0.083713423,-0.772633000,-2.944030000,0.804717725,1.471750000,,,,,
1749762456.561683,-0.002425820,0.014577400,-0.087374600,-0.023144300,-0.030004000,0.002702540,0.004256100,-0.013829000,1749762456.561682940,-0.000483210,-0.014769959,0.240097000,-0.083778935,-0.772445000,-2.943990000,0.804548903,1.471140000,,,,,
1749762456.571856,-0.001875030,0.014807000,-0.085255400,-0.024646200,-0.029478000,0.006137210,0.003521350,-0.014278700,1749762456.571856022,-0.001067314,-0.014887036,0.240153000,-0.083925293,-0.772266000,-2.944060000,0.804378507,1.470580000,,,,,
1749762456.581995,-0.001185650,0.014985200,-0.083108700,-0.024818900,-0.028958800,0.009288220,0.003387080,-0.014550200,1749762456.581995010,-0.001778559,-0.014926443,0.240234000,-0.084022781,-0.772092000,-2.944040000,0.804225468,1.470040000,,,,,
1749762456.591658,-0.000696362,0.015175100,-0.080952800,-0.024516900,-0.028636600,0.010866600,0.002854190,-0.014754500,1749762456.591658115,-0.002294851,-0.015016732,0.240294000,-0.084156557,-0.771915000,-2.944090000,0.804059480,1.469520000,,,,,
1749762456.601840,-0.000392994,0.015318000,-0.078923000,-0.023852800,-0.028451900,0.011390300,0.002443670,-0.014903200,1749762456.601840019,-0.002619909,-0.015097405,0.240331000,-0.084250901,-0.771742000,-2.944120000,0.803894576,1.469000000,,,,,
1749762456.611766,0.000037238,0.015402300,-0.076915000,-0.024416500,-0.028194900,0.012374900,0.002811050,-0.015223700,1749762456.611766100,-0.003059526,-0.015095414,0.240389000,-0.084275846,-0.771577000,-2.944040000,0.803750907,1.468510000,,,,,
1749762456.621853,0.000411790,0.015339300,-0.074484200,-0.024691500,-0.027962500,0.013123100,0.003106280,-0.015507800,1749762456.621853113,-0.003415475,-0.014959887,0.240444000,-0.084301981,-0.771432000,-2.943970000,0.803625425,1.468090000,,,,,
1749762456.631775,0.001002940,0.015363100,-0.072593000,-0.026640300,-0.027843600,0.013038300,0.002571690,-0.016037800,1749762456.631774902,-0.003999048,-0.014867358,0.240534000,-0.084461229,-0.771275000,-2.944020000,0.803484929,1.467620000,,,,,
1749762456.641528,0.001245660,0.015289400,-0.070806600,-0.029654400,-0.027655700,0.013434000,0.001722160,-0.016742100,1749762456.641527891,-0.004221253,-0.014747829,0.240579000,-0.084605725,-0.771132000,-2.944110000,0.803345933,1.467150000,,,,,
1749762456.651934,0.001446130,0.015089900,-0.068623100,-0.032018100,-0.027488500,0.013659800,0.000966672,-0.017382100,1749762456.651933908,-0.004377233,-0.014513311,0.240621000,-0.084751560,-0.771008000,-2.944210000,0.803224112,1.466760000,,,,,
1749762456.661847,0.001517090,0.014997300,-0.066801800,-0.032029400,-0.027258100,0.014306000,0.000623170,-0.017703900,1749762456.661847115,-0.004428079,-0.014408771,0.240646000,-0.084835065,-0.770871000,-2.944250000,0.803091282,1.466340000,,,,,
1749762456.671849,0.001618580,0.014943600,-0.065068800,-0.031466100,-0.026942200,0.015495800,0.000452093,-0.017942300,1749762456.671849012,-0.004516928,-0.014336260,0.240676000,-0.084900353,-0.770729000,-2.944260000,0.802957071,1.465930000,,,,,
1749762456.674127,,,,,,,,,,,,,,,,,,1749762456.674127102,0.250000000,0.000000000,0.000000000,0.000000000
1749762456.681576,0.001692680,0.014764400,-0.062982400,-0.030696600,-0.026656500,0.016395300,0.000299023,-0.018145200,1749762456.681576014,-0.004554174,-0.014146101,0.240703000,-0.084967197,-0.770605000,-2.944280000,0.802839072,1.465580000,,,,,
1749762456.691801,0.002122250,0.014693700,-0.061286200,-0.027477100,-0.026240500,0.018130600,0.001044770,-0.017984400,1749762456.691801071,-0.004963088,-0.013992016,0.240782000,-0.084983221,-0.770468000,-2.944170000,0.802729570,1.465190000,,,,,
1749762456.701754,0.002517330,0.014651000,-0.059592000,-0.024151400,-0.025942200,0.018935300,0.000775561,-0.017776000,1749762456.701754093,-0.005341702,-0.013872814,0.240860000,-0.085111440,-0.770327000,-2.944200000,0.802604055,1.464830000,,,,,
1749762456.711702,0.002611890,0.014606000,-0.057866900,-0.021735200,-0.025926300,0.017741800,0.000601585,-0.017666500,1749762456.711702108,-0.005425325,-0.013810252,0.240899000,-0.085193188,-0.770187000,-2.944220000,0.802472718,1.464480000,,,,,
1749762456.721742,0.002818070,0.014632900,-0.056221500,-0.018578400,-0.025805500,0.017351900,0.000663761,-0.017425300,1749762456.721741915,-0.005633053,-0.013796086,0.240955000,-0.085261468,-0.770037000,-2.944200000,0.802338317,1.464140000,,,,,
1749762456.722323,,,,,,,,,,,,,,,,,,1749762456.722322941,0.250000000,0.000000000,0.000000000,0.000000000
1749762456.731749,0.003136830,0.014673200,-0.054651300,-0.016727600,-0.025717900,0.016760700,0.001035040,-0.017342100,1749762456.731749058,-0.005954353,-0.013772733,0.241030000,-0.085316689,-0.769885000,-2.944140000,0.802209098,1.463810000,,,,,
1749762456.741858,0.003679160,0.014723500,-0.053174500,-0.016232800,-0.025599900,0.016419400,0.001063510,-0.017437500,1749762456.741858006,-0.006496149,-0.013715601,0.241140000,-0.085446741,-0.769731000,-2.944130000,0.802080524,1.463480000,,,,,
1749762456.751774,0.004160270,0.014724400,-0.051750300,-0.017323300,-0.025434300,0.016428800,0.000627523,-0.017758300,1749762456.751774073,-0.006967406,-0.013622447,0.241247000,-0.085620598,-0.769584000,-2.944180000,0.801953092,1.463150000,,,,,
1749762456.761747,0.004426960,0.014630300,-0.050411000,-0.018225700,-0.025146600,0.017278000,0.001176300,-0.018062600,1749762456.761746883,-0.007211673,-0.013477219,0.241327000,-0.085653160,-0.769450000,-2.944090000,0.801845097,1.462830000,,,,,
1749762456.770521,,,,,,,,,,,,,,,,,,1749762456.770520926,0.250000000,0.000000000,0.000000000,0.000000000
1749762456.771565,0.004362620,0.014511700,-0.049215900,-0.017515800,-0.025011300,0.017020300,0.001854830,-0.018141700,1749762456.771564960,-0.007126783,-0.013372766,0.241362000,-0.085624602,-0.769321000,-2.943980000,0.801734896,1.462500000,,,,,
1749762456.781616,0.004095620,0.014363400,-0.047970400,-0.017777400,-0.025028400,0.015731300,0.000896402,-0.018354900,1749762456.781615973,-0.006834270,-0.013280592,0.241367000,-0.085749847,-0.769198000,-2.944100000,0.801604987,1.462190000,,,,,
1749762456.791761,0.003826710,0.014107000,-0.046460300,-0.017847900,-0.025054500,0.014468800,0.000053341,-0.018542900,1749762456.791760921,-0.006518709,-0.013082721,0.241369000,-0.085868982,-0.769091000,-2.944220000,0.801490161,1.461930000,,,,,
1749762456.801884,0.003747760,0.013998700,-0.045294500,-0.017706200,-0.024461600,0.017553400,-0.002782620,-0.018700800,1749762456.801883936,-0.006414727,-0.012994637,0.241396000,-0.086248525,-0.768966000,-2.944630000,0.801337588,1.461630000,,,,,
1749762456.811759,0.003629900,0.013959800,-0.044210800,-0.016369900,-0.023835900,0.020651900,-0.005653680,-0.018683700,1749762456.811758995,-0.006285822,-0.012982320,0.241416000,-0.086646885,-0.768832000,-2.945070000,0.801172046,1.461340000,,,,,
1749762456.818706,,,,,,,,,,,,,,,,,,1749762456.818706036,0.250000000,0.000000000,0.000000000,0.000000000
1749762456.821464,0.003387030,0.013943700,-0.043212500,-0.014383700,-0.023268800,0.023134200,-0.007931970,-0.018558900,1749762456.821464062,-0.006039407,-0.013016309,0.241417000,-0.086987209,-0.768694000,-2.945460000,0.801003033,1.461040000,,,,,
