Generation,Objective_1,Objective_2
1,0.004397501462380619,18.18851832419695
1,0.010224858300521417,0.023701656837545274
1,0.013196026169365209,0.05608672380812611
1,0.01438659034204186,0.025285620396910097
1,0.020112476221893025,0.08430891728472857
1,0.25207666958574365,0.06432682737906337
1,0.01536782010497704,0.542797304745615
1,0.047398095637480306,0.11465551267455325
1,0.3835095262811412,0.0930472467941259
1,0.03898843253158297,0.8714421486112346
1,0.03839842608201895,45.36529870572164
1,0.0880750367668403,0.3142838685598838
1,0.11962225371685418,0.17944796824531012
1,0.5705704059858501,0.1266997259438274
1,0.04662643644149029,3.835108781133196
1,0.11030242778618893,1.2062255188609157
1,0.14779441363157828,0.9601524476138553
1,0.29755949917731744,0.24757779477971154
1,0.18013898354937555,0.30793333026075226
1,0.07776345602778575,22.053430932934635
1,0.1624039439704077,2.825396511059216
1,0.2884179399515468,0.40938072669686737
1,0.2344580448761514,2.0762725657158927
1,0.21112396180722343,2.5023719626267815
1,0.2772649462817121,0.44179004484653267
1,0.2405950669967825,0.7294847419234797
1,0.10127446148750907,240.31810443035408
1,0.4736078825850497,0.43099271765437847
1,0.38871694567918536,0.8511139235895617
1,0.26160997188179846,7.298056963735974
1,0.3574513775394621,6.142596780890152
1,0.11041650546763486,407.71253406901235
1,0.8484468214937836,0.5319577071117869
1,0.4580279162710146,0.9690503243006924
1,0.36711469361972693,11.440257568720611
1,0.45154851148074415,10.831777072528194
1,2.995862251440818,1.7470305403801714
1,9.567155774238858,1.5296626611846011
1,0.5253658705543334,2.091032041167705
1,0.48943024069754126,9.616382186740447
1,9.714770839989528,1.2317961794892465
1,7.871047085722831,2.0324253968117896
1,1.1041250129276283,2.2049278125994483
1,0.6025588293366542,4.424953840262204
1,0.6989900047373421,2.8183442141804753
1,0.7025014940794924,2.3555945399846
1,0.5182331044219362,16.239822684524178
1,11.865295835288238,1.4850615947264567
1,10.514356849895487,2.2280610503320717
1,0.7022027202741034,5.258751869072656
1,5.2378848545195185,2.4183515202489607
1,1.535675770298826,4.448009720436869
1,0.5924112319881264,24.67976223262509
1,0.6602804472325237,16.898489811869688
1,29.136515308005645,1.8875207505994753
1,31.05179357406294,1.827733694448205
1,1.028821425913187,7.009196787194101
1,0.7334908177224565,12.311966060673516
1,0.8150688784633456,7.85355384908676
